Oxide Coumpounds;Price per gram(dolar/gram);;;;;;;;;;;;;;;;;
CoSO4;0.669;;;;;;;;;;;;;;;;;
Na2HPO4;0.743;;;;;;;;;;;;;;;;;
Pr2(SO4)3;;;;;;;;;;;;;;;;;;
CaSO4;0.2041;;;;;;;;;;;;;;;;;
SrSO4;;;;;;;;;;;;;;;;;;
CdSO4;1.37;;;;;;;;;;;;;;;;;
Ag2CO3;8.68;;;;;;;;;;;;;;;;;
AgNO3;6.8;;;;;;;;;;;;;;;;;
ErO2;;;;;;;;;;;;;;;;;;
YbO2;;;;;;;;;;;;;;;;;;
K2CO3;0.577;;;;;;;;;;;;;;;;;
MgCO3;;;;;;;;;;;;;;;;;;
Ca(NO3)2;0.292;;;;;;;;;;;;;;;;;
KNO3;0.646;;;;;;;;;;;;;;;;;
Cd(NO3)2;0.49;;;;;;;;;;;;;;;;;
SO4;;;;;;;;;;;;;;;;;;
C6H12O6;0.0318;;;;;;;;;;;;;;;;;
Th(SO4)2;;;;;;;;;;;;;;;;;;
Er2(SO4)3;;;;;;;;;;;;;;;;;;
Bi2O5;;;;;;;;;;;;;;;;;;
H3BO3;0.432;;;;;;;;;;;;;;;;;
EuO;;;;;;;;;;;;;;;;;;
Pu2O3;;;;;;;;;;;;;;;;;;
RbV2O5;;;;;;;;;;;;;;;;;;
CeO;;;;;;;;;;;;;;;;;;
BOF;;;;;;;;;;;;;;;;;;
CrO;;;;;;;;;;;;;;;;;;
Nd2(SO4)3;3.3;;;;;;;;;;;;;;;;;
Gd2(SO4)3;5.264;;;;;;;;;;;;;;;;;
BaO2;0.263;;;;;;;;;;;;;;;;;
UO2F2;;;;;;;;;;;;;;;;;;
CsHSO4;;;;;;;;;;;;;;;;;;
NaHSO4;0.1052;;;;;;;;;;;;;;;;;
NaPO3;;;;;;;;;;;;;;;;;;
AgPO3;;;;;;;;;;;;;;;;;;
MnNbOF5;;;;;;;;;;;;;;;;;;
Cu2MoO4;;;;;;;;;;;;;;;;;;
Cu3PO4;;;;;;;;;;;;;;;;;;
Al(PO3)3;;;;;;;;;;;;;;;;;;
RbNO3;7.26;;;;;;;;;;;;;;;;;
Au2O3;294;;;;;;;;;;;;;;;;;
CuNbOF5;;;;;;;;;;;;;;;;;;
ReO3;264;;;;;;;;;;;;;;;;;
ZrSiO4;;;;;;;;;;;;;;;;;;
Ba(PO3)2;;;;;;;;;;;;;;;;;;
Ba(H2PO4)2;;;;;;;;;;;;;;;;;;
AlPO4;0.372;;;;;;;;;;;;;;;;;
Na2B4O7;0.397;;;;;;;;;;;;;;;;;
CaCO3;0.778;;;;;;;;;;;;;;;;;
Re2O7;117;;;;;;;;;;;;;;;;;
